secondhandsong_ID, wiki_nominated_ID
3, Q57836536
204, Q108805763
6, Q28132505
156, Q15272117
7, Q15275920
8, Q14661781
165, Q20962306
11, Q16326586
97, Q18786541
26, Q18559542
32, Q14559271
34, Q28572509
42, Q20992398
102, Q51010649
46, Q13422120
378, Q97631372
72, Q104774451
225, Q84761142
83, Q62618893
81, Q12252332
115, Q951715
145, Q57461813
689, Q83548825
154, Q72008699
108, Q19851006
119, Q24664844
180, Q75219631
609, Q105865170
161, Q62587323
194, Q15284481
268, Q98073193
1661, Q65427491
610, Q22662704
558, Q85806617
2705, Q13461348
852, Q16011758
916, Q15784282
1288, Q61439722
1435, Q15256297
5558, Q96321341
4586, Q5621290
6070, Q85131541
